Case #1:
99959 32 960000
99990 38 940000
99963 32 930000
99961 34 920000
99982 32 910000
99987 39 910000
99983 36 890000
99992 44 850000
99957 37 820000
99954 48 790000
99973 34 740000
99967 48 720000
99988 40 710000
99953 34 700000
99968 42 700000
99969 49 680000
99994 46 670000
99985 38 650000
99955 34 630000
99977 47 630000
99958 41 620000
99993 30 570000
99975 38 540000
99976 34 480000
99966 36 480000
99986 35 470000
99996 49 450000
99951 37 420000
99974 41 420000
99984 32 410000
99998 48 380000
99978 49 380000
99970 44 360000
99952 30 350000
99995 38 320000
100000 31 300000
99991 33 300000
99980 48 300000
99960 46 280000
99997 33 270000
99979 31 240000
99972 43 230000
99964 46 220000
99999 32 190000
99965 45 190000
99981 45 170000
99989 31 70000
99956 35 60000
99971 41 40000
99962 43 30000
Case #2:
99909 12 96
99940 18 94
99913 12 93
99911 14 92
99932 12 91
99937 19 91
99933 16 89
99942 24 85
99907 17 82
99904 28 79
99923 14 74
99917 28 72
99938 20 71
99903 14 70
99918 22 70
99919 29 68
99944 26 67
99935 18 65
99905 14 63
99927 27 63
99908 21 62
99943 10 57
99925 18 54
99926 14 48
99916 16 48
99936 15 47
99946 29 45
99901 17 42
99924 21 42
99934 12 41
99948 28 38
99928 29 38
99920 24 36
99902 10 35
99945 18 32
99950 11 30
99941 13 30
99930 28 30
99910 26 28
99947 13 27
99929 11 24
99922 23 23
99914 26 22
99949 12 19
99915 25 19
99931 25 17
99939 11 7
99906 15 6
99921 21 4
99912 23 3
Case #3:
99959 32 960000
99990 38 940000
99963 32 930000
99961 34 920000
99982 32 910000
99987 39 910000
99983 36 890000
99992 44 850000
99957 37 820000
99954 48 790000
99973 34 740000
99967 48 720000
99988 40 710000
99953 34 700000
99968 42 700000
99969 49 680000
99994 46 670000
99985 38 650000
99955 34 630000
99977 47 630000
99958 41 620000
99993 30 570000
99975 38 540000
99976 34 480000
99966 36 480000
99986 35 470000
99996 49 450000
99951 37 420000
99974 41 420000
99984 32 410000
99998 48 380000
99978 49 380000
99970 44 360000
99952 30 350000
99995 38 320000
100000 31 300000
99991 33 300000
99980 48 300000
99960 46 280000
99997 33 270000
99979 31 240000
99972 43 230000
99964 46 220000
99999 32 190000
99965 45 190000
99981 45 170000
99989 31 70000
99956 35 60000
99971 41 40000
99962 43 30000
Case #4:
99909 12 96
99940 18 94
99913 12 93
99911 14 92
99932 12 91
99937 19 91
99933 16 89
99942 24 85
99907 17 82
99904 28 79
99923 14 74
99917 28 72
99938 20 71
99903 14 70
99918 22 70
99919 29 68
99944 26 67
99935 18 65
99905 14 63
99927 27 63
99908 21 62
99943 10 57
99925 18 54
99926 14 48
99916 16 48
99936 15 47
99946 29 45
99901 17 42
99924 21 42
